,Hospital,Address,Telephone,Type
49,Pantai Hospital Penang,"Comprehensive Stroke Centre82, Jalan Tengah, Bandar Bayan Baru, 11900 Bayan Lepas, Pulau Pinang",04-6438 799,Private 24 Hours
50,ParkCity Medical Centre (PMC),"No. 2, Jalan Inti Sari Perdana, Desa ParkCity, 52200 Kuala Lumpur, Kuala Lumpur, Malaysia",+603 6279 3085,Private 24 Hours
51,Prince Court Medical Centre,"39, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-2160 0000,Private 24 Hours
52,Pusat Jantung Sarawak,"Pusat Jantung Sarawak, Kuching - Samarahan Expressway, 94300 Kota Samarahan, Sarawak",999,Public Normal Hours
53,Pusat Perubatan Universiti Kebangsaan Malaysia (Comprehensive Stroke Centre),"Jalan Yaacob Latif, Bandar Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan",999,Public 24 Hours
54,Regency Specialist Hospital,"1, Jalan Suria, Bandar Baru Seri Alam, 81750 Masai, Johor",07-381 7700,Private 24 Hours
55,Sibu Hospital,"KM 5 1/2, Jalan Ulu Oya, 96000 Sibu, Sarawak",084-343333,Public Normal Hours
56,Subang Jaya Medical Centre (Comprehensive Stroke Centre),"Jalan SS12/1, Ss 12, 47500 Subang Jaya, Selangor",03-5639 1212,Private 24 Hours
57,Sunway Medical Centre (Comprehensive Stroke Centre),"5, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor",03-7491 9191,Private 24 Hours
58,Sunway Medical Centre Velocity,"Sunway Medical Centre Velocity, Lingkaran SV, Sunway Velocity, 55100 Kuala Lumpur(9am-5pm)",03-9772 9191 (Emergency Hotline),Private 24 Hours
59,Thomson Hospital Kota Damansara,"11, Jalan Teknologi, Pju 5 Kota Damansara, 47810 Petaling Jaya, Selangor",03-6287 1111,Private 24 Hours
60,Timberland Medical Centre,"5164-5165, Block 16 KLCD 2 1/2 Mile, Rock Road, Taman Timberland, 93250 Kuching, Sarawak",082-234466,Private Normal Hours
61,Tung Shin Hospital,"102, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-2037 2288,Private 24 Hours
