 ,HOSPITAL GROUP,ADDRESS,CITY,STATE,Capacity,REMARK,NO. TELEPHONE,Website,Doctor Directory,Beds,Baby Cots,BedsBaby Cots,Bassinets,Dialysis Chairs,Dental Chairs,ArmChairs,Phototherapy Cots,Mobile Dialysis Device,BedsDialisis,Beds BloodDonor,MonoplaceHyperbaric Chamber, Baby CotsFototerapi
"Columbia Asia Hospital, Nusajaya",Columbia,"Persiaran Afiat, Taman Kesihatan Afiat, 79250 Nusajaya, Johor",Nusajaya,JOHOR,"168 Beds, 8 Bassinets, 2 Baby Cots, 8 ArmChairs",-,07-2339999,https://www.columbiaasia.com/malaysia/hospitals/iskandar-puteri/overview,https://www.columbiaasia.com/malaysia/hospitals/iskandar-puteri/doctors,168,2,0,8,0,0,8,0,0,0,0,0,0
Columbia Asia Hospital - Seremban,Columbia,"292, Jalan Haruan 2, Oakland Commercial Centre, 70300 Seremban, Negeri Sembilan",Seremban,NEGERI SEMBILAN,-,,06-6033988,https://www.columbiaasia.com/malaysia/hospitals/seremban/overview,https://www.columbiaasia.com/malaysia/hospitals/seremban/doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Asia Hospital - Taiping,Columbia,"No. 5, Jalan Perwira, 34000 Taiping Perak",Jalan Perwira,PERAK,"62 Beds, 1 ArmChairs, 2 Baby Cots, 8 Bassinets",-,05-8208888,https://www.columbiaasia.com/malaysia/hospitals/taiping/overview,https://www.columbiaasia.com/malaysia/hospitals/taiping/doctors,62,2,0,8,0,0,1,0,0,0,0,0,0
Columbia Asia Hospital - Bintulu,Columbia,"Lot 3582 & 3583, Blok 26, Kemena Land District, Jalan Tan Sri Ikhwan, Tanjung Kidurong, 97000 Bintulu, Sarawak",Bintulu,SARAWAK,21 Beds/1 ArmChairs/4 Bassinets,-,086-251888,https://www.columbiaasia.com/malaysia/hospitals/bintulu/overview,https://www.columbiaasia.com/malaysia/hospitals/bintulu/doctors,21,0,0,4,0,0,1,0,0,0,0,0,0
Columbia Asia Hospital - Miri,Columbia,"Lot 1035-1039, Jalan Bulan Sabit, 98000 Miri, Sarawak",Miri,SARAWAK,"23 Beds, 5 Bassinets",-,085-437755,https://www.columbiaasia.com/malaysia/hospitals/miri/overview,https://www.columbiaasia.com/malaysia/hospitals/miri/doctors,23,0,0,5,0,0,0,0,0,0,0,0,0
Columbia Asia Hospital - Cheras,Columbia,"Lot 33107, Jalan Suakasih, 43200 Cheras, Selangor",Cheras,SELANGOR,"79 Beds, 6 Bassinets, 4 ArmChairs, 2 Phototherapy Cots",-,03-90869999,https://www.columbiaasia.com/malaysia/hospitals/cheras/overview,https://www.columbiaasia.com/malaysia/hospitals/cheras/doctors,79,0,0,6,0,0,4,2,0,0,0,0,0
Columbia Asia Hospital - Petaling Jaya,Columbia,"Lot 69, Jalan 13/6, Seksyen 13, 46200 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,"57 Beds, 1 ArmChairs, 10 Bassinets",-,-,https://www.columbiaasia.com/malaysia/hospitals/petaling-jaya/overview,https://www.columbiaasia.com/malaysia/hospitals/petaling-jaya/doctors,57,0,0,10,0,0,1,0,0,0,0,0,0
Columbia Asia Hospital - Puchong,Columbia,"No. 1, Lebuh Puteri Bandar Puteri Puchong, 47100 Puchong, Selangor",Puchong,SELANGOR,"83 Beds, 2 Baby Cots, 10 Bassinets, 4 ArmChairs",-,03-80648688,https://www.columbiaasia.com/malaysia/hospitals/puchong/overview,https://www.columbiaasia.com/malaysia/hospitals/puchong/doctors,83,2,0,10,0,0,4,0,0,0,0,0,0
Columbia Asia Hospital - Klang,Columbia,"PT 71153, Jalan Mahkota 1/KU2, Mutiara Bukit Raja 2, KM 2, Off Jalan Meru, 41050, Klang Selangor",Klang,SELANGOR,"86 Beds, 2 ArmChairs, 2 Baby Cots, 2Phototherapy Cots, 8 Bassinets",-,-,https://www.columbiaasia.com/malaysia/hospitals/klang/overview,https://www.columbiaasia.com/malaysia/hospitals/klang/doctors,86,2,0,8,0,0,2,2,0,0,0,0,0
Columbia Asia Extended Care Hospital,Columbia,"Lot 2, Jalan Baung 17/22, Seksyen 17, 40200 Shah Alam, Selangor",Shah Alam,SELANGOR,-,,03-55417833,https://www.columbiaasia.com/malaysia/specialties/extended-care,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Asia Hospital - Bukit Rimau,Columbia,"No. 3, Persiaran Anggerik Eria, Bukit Rimau, Seksyen 32, 40460, Shah Alam, Selangor",Shah Alam,SELANGOR,"77 Beds, 3 Baby Cots, 7 Bassinets",-,03-51259999,https://www.columbiaasia.com/malaysia/hospitals/bukit-rimau/overview,https://www.columbiaasia.com/malaysia/hospitals/bukit-rimau/doctors,77,3,0,7,0,0,0,0,0,0,0,0,0
Columbia Asia Hospital - Setapak,Columbia,"No.1, Jalan Danau Saujana, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Off Jalan Genting Klang / Jalan Danau Saujana,WP Kuala Lumpur,-,,03-41459999,https://www.columbiaasia.com/malaysia/hospitals/setapak/overview,https://www.columbiaasia.com/malaysia/hospitals/setapak/doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantai Hospital Batu Pahat,Pantai,"No. 9S, Jalan Bintang Satu, Taman Koperasi Bahagia, 83000 Batu Pahat, Johor",Batu Pahat,JOHOR,"107 Beds, 8 Bassinets, 4 Baby Cots, 6 Dialysis Chairs",-,07-4338811,https://www.pantai.com.my/batu-pahat,https://www.pantai.com.my/batu-pahat/find-a-doctor,107,4,0,8,6,0,0,0,0,0,0,0,0
Pantai Hospital Sungai Petani,Pantai,"No. 1, Persiaran Cempaka, Bandar Amanjaya, 08000 Sungai Petani, Kedah",Sungai Petani,KEDAH,"120 Beds, 10 BedsBaby Cots, 10 Bassinets, 1 Mobile Dialysis Device, 18Dialysis Chairs, 6 ArmChairs",-,04-4428888,https://www.pantai.com.my/sungai-petani,https://www.pantai.com.my/sungai-petani/find-a-doctor,120,0,10,10,18,0,6,0,1,0,0,0,0
Pantai Hospital Laguna Merbok,Pantai,"1, Lorong BLM 1/10, Bandar Laguna Merbok, 08000 Sungai Petani, Kedah",Sungai Petani,KEDAH,"51 Beds,10 Dialysis Chairs, 5 Bassinets",-,-,https://www.pantai.com.my/laguna-merbok,https://www.pantai.com.my/laguna-merbok/find-a-doctor,51,0,0,5,10,0,0,0,0,0,0,0,0
Pantai Hospital Ayer Keroh,Pantai,"No. 2418-1, KM 8, LebuhAyer Keroh, 75450 Melaka",Ayer Keroh,MELAKA,"231 Beds, 2 BedsBaby Cots, 3 Baby Cots, 20 Bassinets, 14Dialysis Chairs, 9ArmChairs, 2 Dental Chairs,3 Mobile Dialysis Device",-,06-2319999,https://www.pantai.com.my/ayer-keroh,https://www.pantai.com.my/ayer-keroh/find-a-doctor,231,3,2,20,14,2,9,0,3,0,0,0,0
Pantai Hospital Ipoh,Pantai,"126, Jalan Tambun, 31400 Ipoh, Perak",Ipoh,PERAK,"225 Beds, 29Dialysis Chairs, 5Baby Cots, 1 Dental Chairs, 8 ArmChairs",-,05-5405555,https://www.pantai.com.my/ipoh,https://www.pantai.com.my/ipoh/find-a-doctor,225,5,0,0,29,1,8,0,0,0,0,0,0
Pantai Hospital Manjung,Pantai,"Jalan PPMP 1, Pusat Perniagaan Manjung Point, 32040 Seri Manjung, Perak Darul Ridzuan",Seri Manjung,PERAK,"59 Beds, 2 Baby Cots, 12 Bassinets",-,-,https://www.pantai.com.my/manjung,https://www.pantai.com.my/manjung/find-a-doctor,59,2,0,12,0,0,0,0,0,0,0,0,0
Pantai Hospital Penang,Pantai,"82, Jalan Tengah, Bayan Baru, 11900, Bayan Lepas, Pulau Pinang",Bayan Lepas,PULAU PINANG,"204 Beds, 5 Baby Cots, 4 Bassinets, 3 Dental Chairs, 22Dialysis Chairs, 4 ArmChairs",-,04-6433888,https://www.pantai.com.my/penang,https://www.pantai.com.my/penang/find-a-doctor,204,5,0,4,22,3,4,0,0,0,0,0,0
Pantai Hospital Klang,Pantai,"Lot 5921, Persiaran Raja Muda Musa, 41200 Klang, Selangor",Klang,SELANGOR,"108 Beds, 4 Baby Cots, 6 Bassinets, 1 MobileMesin Dialisis, 6 Dialysis Chairs",-,03- 33725222/33725010,https://www.pantai.com.my/klang,https://www.pantai.com.my/klang/find-a-doctor,108,4,0,6,6,0,0,0,1,0,0,0,0
Pantai Hospital Kuala Lumpur,Pantai,"No. 8, Jalan Bukit Pantai, 59100 Kuala Lumpur",Jalan Bukit Pantai,WP Kuala Lumpur,"365 Beds, 9 Baby Cots,25 Bassinets, 3 Dental Chairs, 20 ArmChairs",-,03-22960888,https://www.pantai.com.my/kuala-lumpur,https://www.pantai.com.my/kuala-lumpur/find-a-doctor,365,9,0,25,0,3,20,0,0,0,0,0,0
Pantai Hospital Ampang,Pantai,"Jalan Perubatan 1, Pandan Indah, 55100 Kuala Lumpur",Pandan Indah,WP Kuala Lumpur,"117 Beds, 2 Baby Cots, 4 Bassinets, 15 Dialysis Chairs",-,03-42892828,https://www.pantai.com.my/ampang,https://www.pantai.com.my/ampang/find-a-doctor,117,2,0,4,15,0,0,0,0,0,0,0,0
Pantai Hospital Cheras,Pantai,"No 1 Jalan 1/96a, Taman Cheras Makmur, 56100 Kuala Lumpur",Taman Cheras Makmur,WP Kuala Lumpur,"123 Beds, 13 Bassinets",-,03-91452888,https://www.pantai.com.my/cheras,https://www.pantai.com.my/cheras/find-a-doctor,123,0,0,13,0,0,0,0,0,0,0,0,0
Gleneagles Medini,Gleneagles,"No. 2, Jalan Medini Utara 4, Medini Iskandar, 79250 Iskandar Puteri, Johor",Iskandar Puteri,JOHOR,-,,07-5601000,https://gleneagles.com.my/medini-johor,https://gleneagles.com.my/medini-johor/doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Gleneagles Penang,Gleneagles,"No. 1, Jalan Pangkor, 10050 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,"333 Beds, 6 Baby CotsFototerapi, 27 ArmChairs, 24 Dialysis Chairs, 3 Mobile Dialysis Device",-,04-2229111,https://gleneagles.com.my/penang,https://gleneagles.com.my/penang/doctors,333,6,0,0,24,0,27,0,3,0,0,0,0
Gleneagles Kota Kinabalu,Gleneagles,"Riverson @ Sembulan, Blok A-1, Lorong Riverson @ Sembulan, 88100 Kota Kinabalu, Sabah",Kota Kinabalu,SABAH,"121 Beds, 5 Baby Cots, 5Phototherapy Cots, 3 Bassinets, 4 Dialysis Chairs, 2 BedsDialisis, 2 Dental Chairs",-,088-518888,https://gleneagles.com.my/kota-kinabalu,https://gleneagles.com.my/kota-kinabalu/doctors,121,5,0,3,4,2,0,5,0,2,0,0,0
Gleneagles Kuala Lumpur,Gleneagles,"Block A & Block B, 282 & 286, Jalan Ampang, Kampung Berembang, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Ampang,WP Kuala Lumpur,"376 Beds, 10ArmChairs, 8Baby Cots, 30 Bassinets, 6 Dialysis Chairs",-,03-41413000,https://gleneagles.com.my/kuala-lumpur,https://gleneagles.com.my/kuala-lumpur/doctors,376,8,0,30,6,0,10,0,0,0,0,0,0
Kempas Medical Centre,-,"Lot Ptd 7522, Jalan Kempas Baru, 81200 Johor Bahru, Johor",Johor Bahru,JOHOR,"47 Beds, 8 Bassinets, 6 Dialysis Chairs",-,07-2368999,https://kempasmedical.com/en/,https://kempasmedical.com/en/our-specialists,47,0,0,8,6,0,0,0,0,0,0,0,0
Century Specialist Maternity Sdn Bhd,-,"6B, 6B-1, 6-A-1 dan 6-1,Jalan Harimau, Taman Century, 80250 Johor Bahru, Johor",Johor Bahru,JOHOR,"5 Beds, 4 Bassinets",Single discipline: O&G,-,-,-,5,0,0,4,0,0,0,0,0,0,0,0,0
JB Specialist Hospital Sdn. Bhd. (Hospital Pakar Siow),-,"38, Jalan Ros Merah 3/2, Taman Johor Jaya, 81100 Johor Bahru, Johor",Johor Bahru,JOHOR,4 Beds,Single discipline: Pembedahan Am (Minor),-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0
Kensington Green Specialist Centre Sdn. Bhd.,-,"No. 2, Jalan Ceria 20, Taman Nusa Indah, Iskandar Puteri, 79100 Johor Bahru, Johor",Johor Bahru,JOHOR,"39 Beds, 8 Bassinets, 2 Baby Cots",-,-,https://www.kgsc.com.my/,https://www.kgsc.com.my/usr/mobile/pagesubmb.aspx?pgid=7,39,2,0,8,0,0,0,0,0,0,0,0,0
Landmark Medical Centre,-,"Level 33B, Menara Landmark, Jalan Ngee Heng, 80000 Johor Bahru, Johor",Johor Bahru,JOHOR,"8 Beds, 4 Bassinets",-,-,https://landmarkmedical.com.my/,-,8,0,0,4,0,0,0,0,0,0,0,0,0
Maria Hospital [Medical Specialist Centre (Jb) Sdn. Bhd.],-,"Blok A, Wisma Maria, Jalan Ngee Heng, 80100 Johor Bahru, Johor",Johor Bahru,JOHOR,21 Beds,-,-,https://www.mariahospital.com/index.html,https://www.mariahospital.com/our-specialists.html,21,0,0,0,0,0,0,0,0,0,0,0,0
Pelangi Medical Centre Sdn. Bhd.,-,"66A & 68A, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor",Johor Bahru,JOHOR,2 Beds/2 Bassinets,Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Pusat PakarBersalin Tebrau Sdn. Bhd,-,"No. 2, Pusat Pakar Bersalin Tebrau, Jalan Kencana Emas 1/7, Kawasan Perindustrian Tebrau III, 81100 Johor Bahru, Johor",Johor Bahru,JOHOR,"10 Beds, 8 Bassinets",Single discipline: O&G,-,-,-,10,0,0,8,0,0,0,0,0,0,0,0,0
Specialist Women's Hospital & Fertility Centre (Hospital Pakar Sakit Puan & Kesuburan),-,"No. 14, Jalan Rosmerah 3/2, Taman Johor Jaya, 81100 Johor Bahru, Johor",Johor Bahru,JOHOR,2 Beds/2 Bassinets,Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Kluang Specialist Maternity Centre,-,"No. 2, 3, 4, Jalan Haji Manap Nordin, Kluang Baru, 86000 Kluang, Johor",Kluang,JOHOR,"2 Beds, 2 Bassinets",Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Pusat Pakar Wanita Dan Perbidanan Johor,-,"No 38-42, Jalan Cantik, 86000 Kluang, Johor",Kluang,JOHOR,4 Beds/ 4 Bassinets,-,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Regency Specialist Hospital,Regency,"No. 1, Jalan Suria, Bandar Seri Alam, 81750 Masai, Johor",Masai,JOHOR,"186 Beds, 7 ArmChairs, 20 Bassinets, 12Dialysis Chairs, 2 Baby Cots",-,07-3817700,https://www.regencyspecialist.com/,https://www.regencyspecialist.com/our-doctors,186,2,0,20,12,0,7,0,0,0,0,0,0
Pusat Pakar Perbidanan Dan Wanita Perdana,-,"No. 21, Jalan Sulaiman, 84000 Muar, Johor",Muar,JOHOR,15 Beds8 basinet,Single discipline: O&G,-,-,-,15,0,0,8,0,0,0,0,0,0,0,0,0
Hospital Penawar (Pasir Gudang),Kumpulan Perubatan Penawar,"No. 17 & 18 (A-D), Pusat Perniagaan Pasir Gudang, 81700 Pasir Gudang, Johor",Pasir Gudang,JOHOR,"40 Beds, 10 Bassinets",-,-,http://www.hospitalpenawar.com/,http://www.hospitalpenawar.com/?page_id=25,40,0,0,10,0,0,0,0,0,0,0,0,0
Pusat PakarSakitpuan Dan Perbidanan Khor & Loh Sdn. Bhd,-,"No 145, 147 & 149-02,,Jalan Bestari 1/5, Taman Nusa Bestari, 81300 Skudai, Johor",Skudai,JOHOR,10 Beds/6 Bassinets,Single discipline: O&G,-,-,-,10,0,0,6,0,0,0,0,0,0,0,0,0
Klinik Rakyat & Hospital,-,"5, Jalan Zabedah, Kg.",Batu Pahat,JOHOR,-,,07-4317579,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Putra Specialist Hospital Batu Pahat,Intelek Ceria,"No. 1, Jalan Peserai, Kg. Pegawai, 83000 Batu Pahat, Johor",Batu Pahat,JOHOR,-,,07-4133333,http://putrabatupahat.com/,http://putrabatupahat.com/find-doctor.php,0,0,0,0,0,0,0,0,0,0,0,0,0
Century Medical Centre,-,"6c-1, Jalan Harimau, Taman Abad, 80250 Johor Bahru, Johor",Johor Bahru,JOHOR,-,,07-3311722,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Century Specialist Maternity,-,"6B, Jalan Harimau, Taman Abad, 80250 Johor Bahru, Johor",Johor Bahru,JOHOR,-,,07-3322373,http://centuryspecialistmaternity.blogspot.com/,-,0,0,0,0,0,0,0,0,0,0,0,0,0
