Name,Link,Speciality Title,Speciality Appointment,Designation,Qualification,link,hospital
Dr. Ruhi Fadzlyana Binti Jailani,doctors/dr.-ruhi-fadzlyana-binti-jailani,General Surgery and Colorectal Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=768&searchPhyAndSpec=Dr. Ruhi Fadzlyana Binti Jailani&hcsType=Specialty,Consultant General and Colorectal Surgeon (Visiting),"MBBS (IIUM), Doctor of General Surgery (UKM), Fellowship in Colorectal Surgery (Malaysia & Edinburgh)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Tan Kok Hui,doctors/dr.-tan-kok-hui,,,Consultant Anesthesiologist,"MBBS (UM), M Anesthesiology (UM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Teeba A/P Raja,doctors/dr.-teeba-a~p-raja,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=4123&searchPhyAndSpec=Dr. Teeba A%252FP Raja&hcsType=Specialty,Consultant Dermatologist (Visiting),"Advanced Master of Dermatology(UKM), Fellowship in Dermatology(UKM), SCE Dermatology (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Venayagamurthy A/L Kanisan,doctors/dr.-venayagamurthy-a~l-kanisan,General Surgery and Colorectal Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=347&searchPhyAndSpec=Dr. Venayagamurthy A%252FL Kanisan&hcsType=Specialty,Consultant General and Colorectal Surgeon,"MD (UKM), MS (General Surgery) (UKM), AM (Malaysia), CIMA (NIOSH), Fellowship in Colorectal Surgery (Australia & India)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Victor Chin,doctors/dr.-victor-chin,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=3950&searchPhyAndSpec=Dr. Victor Chin&hcsType=Specialty,Consultant Obstetrician & Gynecologist (Visiting),"MBBS (India), MRCOG (UK), Fellowship in Advanced Gynecologic Endoscopic Surgery (Australia)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Vijaya Mohan R. Rasathurai,doctors/dr.-vijaya-mohan-r.-rasathurai,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=738&searchPhyAndSpec=Dr. Vijaya Mohan R. Rasathurai&hcsType=Specialty,Consultant Pediatrician,"MBBS (India), MRCPCH (UK)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Wan Zul Haikal Hafiz Bin Wan Zukiman,doctors/dr.-wan-zul-haikal-hafiz-bin-wan-zukiman,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=18&searchLocation=Cheras&phyID=3154&searchPhyAndSpec=Dr. Wan Zul Haikal Hafiz Bin Wan Zukiman&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist (Visiting),"MD (UM), MMED (Internal Medicine) (UKM)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Zaidatul Wahida Abd Wahab,doctors/dr.-zaidatul-wahida-abd-wahab,,,"Consultant Radiologist, with Special Interest in Neuroradiology & Head and Neck Imaging","MD (UKM), Doctor of Radiology (UKM), Fellowship in Neuroradiology (USA)",/malaysia/hospitals/cheras/doctors,cheras
Dr. Abi Ling Ung Ping,doctors/dr.-abi-ling-ung-ping,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=798&searchPhyAndSpec=Dr. Abi Ling Ung Ping&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (Manipal), MRCOG (UK)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Ahmad Khairil Irham Bin Harun,doctors/dr.-ahmad-khairil-irham-bin-harun,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=448167358241&searchPhyAndSpec=Dr. Ahmad Khairil Irham Bin Harun&hcsType=Specialty,Consultant General Surgeon,"MD (UKM), MMed (Surgery) (USM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Azani Bin Hasan,doctors/dr.-azani-bin-hasan,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=526567251067&searchPhyAndSpec=Dr. Azani Bin Hasan&hcsType=Specialty,Consultant Orthopedic Surgeon (Visiting),"MBchB (NZ), Ms. Ortho(UKM), Knee Fellowship (Korea)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Bishnu Charan Pattnaik,doctors/dr.-bishnu-charan-pattnaik,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=209&searchPhyAndSpec=Dr. Bishnu Charan Pattnaik&hcsType=Specialty,Consultant Internal Medicine Physician,"MBBS (India), MD (General Medicine) (India)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Chan Siew Hong,doctors/dr.-chan-siew-hong,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=518379424622&searchPhyAndSpec=Dr. Chan Siew Hong&hcsType=Specialty,Consultant Urologist (Visiting),"MBBS (UM), MRCS (UK), M. General Surgery (UM), FRCS (Urology) (Glasgow)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Clarence Lei Chang Moh,doctors/dr.-clarence-lei-chang-moh,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=415&searchPhyAndSpec=Dr. Clarence Lei Chang Moh&hcsType=Specialty,Consultant Urologist (Visiting),"MBBS (UM), FRCS (Glasgow), Diploma in Urology (UK), FRCS (Urology) (UK)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Daisy Kho Geok Suan,doctors/dr.-daisy-kho-geok-suan,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=454&searchPhyAndSpec=Dr. Daisy Kho Geok Suan&hcsType=Specialty,Consultant Ophthalmologist (Visiting),"MBBS (Australia), FRC (Ophthalmology) (UK)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Gunalan Nalliah,doctors/dr.-gunalan-nalliah,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=419&searchPhyAndSpec=Dr. Gunalan Nalliah&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (India), MS (Orthopedics) (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Haslina Binti Sarkawi,doctors/dr.-haslina-binti-sarkawi,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=455&searchPhyAndSpec=Dr. Haslina Binti Sarkawi&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (Australia), MMed (Obs & Gyn) (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Kenneth Teow Kheng Leong,doctors/dr.-kenneth-teow-kheng-leong,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=3956&searchPhyAndSpec=Dr. Kenneth Teow Kheng Leong&hcsType=Specialty,Consultant Ophthalmologist (Visiting),"MBBS (IMU), Dr Ophth (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Kho Wee Meng,doctors/dr.-kho-wee-meng,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=505&searchPhyAndSpec=Dr. Kho Wee Meng&hcsType=Specialty,Consultant Dermatologist (Visiting),"MD (USM), MRCP (UK) (Derm), Advanced Master in Dermatology (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Khor Foo Kiang,doctors/dr.-khor-foo-kiang,,,Consultant Radiologist,"MBBS (UMS), M.Rad (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Lee Yuen Teck,doctors/dr.-lee-yuen-teck,,,Medical Officer & Occupational Health Doctor & Medical Review Officer,"MD (KSMU RUSSIA), OHD (NIOSH), MPM AME No: 116, Approver as Seafarers Medical Practitioner, Petronas Approved Medical Examiner (AME)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Lily Hii,doctors/dr.-lily-hii,,,Consultant Anesthesiologist,"MD (USM), DrAnaesCritCare (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Mark Jeevan Erudayam,doctors/dr.-mark-jeevan-erudayam,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=450&searchPhyAndSpec=Dr. Mark Jeevan Erudayam&hcsType=Specialty,Consultant General Surgeon,"MBBS (India), MMed (General Surgery) (USM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Mohamad Ayob Bin Ismail,doctors/dr.-mohamad-ayob-bin-ismail,Psychiatry,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=497122241854&searchPhyAndSpec=Dr. Mohamad Ayob Bin Ismail&hcsType=Specialty,Consultant Psychiatrist (Visiting),"MD (UKM), Doctor in Psychiatry (UKM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Mohd Fikri Bin Nasir,doctors/dr.-mohd-fikri-bin-nasir,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=505477525105&searchPhyAndSpec=Dr. Mohd Fikri Bin Nasir&hcsType=Specialty,Consultant Internal Medicine Physician,"MBBCh BAO (Ireland), LRCP & SI (Ireland), MRCP (UK)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Norzatulsyima Binti Nasirudin,doctors/dr.-norzatulsyima-binti-nasirudin,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=466427786827&searchPhyAndSpec=Dr. Norzatulsyima Binti Nasirudin&hcsType=Specialty,Consultant Orthopedic Surgeon (Visiting),"MBBCh BAO (Ireland), M Orthopedic Surgery (UM), CMIA (NIOSH)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Nurhani Yasmin Binti Abdul Rahman,doctors/dr.-nurhani-yasmin-binti-abdul-rahman,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=4369&searchPhyAndSpec=Dr. Nurhani Yasmin Binti Abdul Rahman&hcsType=Specialty,Consultant ENT Surgeon,"MD (Indonesia), MMed (ORL-HNS) (USM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Roberto Angelo Mojolou,doctors/dr.-roberto-angelo-mojolou,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=458337732865&searchPhyAndSpec=Dr. Roberto Angelo Mojolou&hcsType=Specialty,Consultant Internal Medicine Physician,"MD (Russia), MMED (Internal Medicine) (USM)",/malaysia/hospitals/bintulu/doctors,bintulu
Dr. Thomas Lau Yun Guan,doctors/dr.-thomas-lau-yun-guan,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=471&searchPhyAndSpec=Dr. Thomas Lau Yun Guan&hcsType=Specialty,Consultant Pediatrician,"MBBS (UM), MRCPH (UK), GDip (Family Practice Dermatology, S'pore)",/malaysia/hospitals/bintulu/doctors,bintulu
Ms. Vera Pillai,doctors/ms.-vera-pillai,Psychology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=4091&searchPhyAndSpec=Ms. Vera Pillai&hcsType=Specialty,Clinical Psychologist (Visiting),M.Clin.Psy (CP1-0315),/malaysia/hospitals/bintulu/doctors,bintulu
Prof. Dr. Chua Chung Nen,doctors/prof.-dr.-chua-chung-nen,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=12&searchLocation=Bintulu&phyID=414&searchPhyAndSpec=Prof. Dr. Chua Chung Nen&hcsType=Specialty,General Ophthalmologist (Visiting),"BMedSc (UK), MBBS (UK), MRCP (UK), FRC (Ophthalmology) (UK), CCST (UK)",/malaysia/hospitals/bintulu/doctors,bintulu
Dato' Dr. Jegan A/L Thanabalan,doctors/dato'-dr.-jegan-a~l-thanabalan,Neurosurgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=3534&searchPhyAndSpec=Dato' Dr. Jegan A%252FL Thanabalan&hcsType=Specialty,Consultant Neurosurgeon (Visiting),"MBBS (India), MS (General Surgery) (UKM), Fellowship In Stereotactic & Functional Neurosurgery (Oxford, UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Datuk Dr. Mohamed Rafiq Bin Mohamed Ibrahim,doctors/datuk-dr.-mohamed-rafiq-bin-mohamed-ibrahim,Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=151&searchPhyAndSpec=Datuk Dr. Mohamed Rafiq Bin Mohamed Ibrahim&hcsType=Specialty,Consultant Interventional Cardiologist,"MBBS (India), MRCP (UK), AM (Malaysia), FNHAM",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Ahmad Sufian Bin Ab Rahman,doctors/dr.-ahmad-sufian-bin-ab-rahman,Oncology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=471743144521&searchPhyAndSpec=Dr. Ahmad Sufian Bin Ab Rahman&hcsType=Specialty,Consultant Medical Oncologist (Visiting),"MBChB (New Zealand), Medical Oncology (Australia), FRACP",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Alice Chin Chiet Ying,doctors/dr.-alice-chin-chiet-ying,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=285&searchPhyAndSpec=Dr. Alice Chin Chiet Ying&hcsType=Specialty,Consultant Ophthalmologist,"MD (UNIMAS), MS (Ophthalmology) (UKM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Anbarasu Renganathan,doctors/dr.-anbarasu-renganathan,Internal Medicine and Gastroenterology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=277&searchPhyAndSpec=Dr. Anbarasu Renganathan&hcsType=Specialty,Consultant Internal Medicine Physician & Gastroenterologist,"MBBS (India), M Internal Medicine (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Cheah Cheong Wooi,doctors/dr.-cheah-cheong-wooi,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=271&searchPhyAndSpec=Dr. Cheah Cheong Wooi&hcsType=Specialty,Consultant Pediatrician,"MD (Canada), M Pediatrics (UM), AM (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Choong Chee Leong,doctors/dr.-choong-chee-leong,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=529360926276&searchPhyAndSpec=Dr. Choong Chee Leong&hcsType=Specialty,Consultant Orthopedic Surgeon (Visiting),"MBBS (India), M Orthopedic Surgery (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Dharmendran Ratnasingam,doctors/dr.-dharmendran-ratnasingam,General Surgery and Upper Gastrointestinal Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=247&searchPhyAndSpec=Dr. Dharmendran Ratnasingam&hcsType=Specialty,Consultant Upper Gastrointestinal and General Surgeon,"MBBS (India), MS (General Surgery) (UKM), MRCS (Edinburgh), D.MAS (India), AM (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Eng Kar Seng,doctors/dr.-eng-kar-seng,,,Consultant Anesthesiologist & Intensivist,"MBBS (IMU), M Anaesthesiology (UM), Fellowship in Intensive Care (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Fong Tuck Shin,doctors/dr.-fong-tuck-shin,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=2888&searchPhyAndSpec=Dr. Fong Tuck Shin&hcsType=Specialty,Consultant Orthopedic Surgeon,"MD (UNIMAS), M Orthopedic Surgery (UM), Fellowship in Arthroplasty & Arthroscopy (Korea), CMIA (NIOSH)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Foo Geong Taat,doctors/dr.-foo-geong-taat,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=519787992861&searchPhyAndSpec=Dr. Foo Geong Taat&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist (Visiting),"MRCP (UK), Fellowship in Nephrology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
